customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,age_group,purchase_frequency_days
1,45,Other,Blazer,Clothing,9751,Pallavaram,XXL,White,Festive,4.9,No,Express,No,39,Wallet,Monthly,Middle-Aged,30
2,44,Male,Jeans,Clothing,3074,Egmore,XS,White,Spring,2.8,No,Free Shipping,Yes,29,Net Banking,Occasionally,Middle-Aged,90
3,54,Female,Jacket,Clothing,5101,Nungambakkam,M,Yellow,Festive,4.4,No,Free Shipping,No,30,Credit Card,Monthly,Middle-Aged,30
4,66,Other,Kurti,Clothing,382,Royapettah,XS,Brown,Festive,4.5,Yes,Standard,No,19,UPI,Monthly,Senior,30
5,22,Male,Chinos,Clothing,1497,Saidapet,L,Beige,Festive,3.8,Yes,Standard,No,22,Net Banking,Occasionally,Young Adult,90
6,41,Female,Tracksuit,Clothing,4148,Anna Nagar,L,Maroon,Summer,2.0,No,Express,No,6,Debit Card,Occasionally,Adult,90
7,66,Other,Top,Clothing,2476,Mylapore,S,Gray,Monsoon,3.8,No,Standard,No,7,Wallet,Occasionally,Senior,90
8,30,Other,Dress,Clothing,2527,Madipakkam,L,Pink,Spring,3.3,No,Standard,Yes,31,Wallet,Weekly,Adult,7
9,67,Female,Scarf,Clothing,9888,Adyar,S,Blue,Summer,1.8,Yes,Standard,No,16,Debit Card,Monthly,Senior,30
10,68,Female,Saree,Clothing,6928,Guindy,XL,Orange,Monsoon,2.7,No,Free Shipping,No,2,Credit Card,Fortnightly,Senior,14
11,26,Female,Formal Pants,Clothing,2617,Perambur,L,Olive,Spring,2.3,No,Free Shipping,Yes,24,UPI,Monthly,Young Adult,30
12,31,Other,Scarf,Clothing,5829,Perambur,XS,Olive,Winter,4.8,No,Express,Yes,30,Wallet,Occasionally,Adult,90
13,51,Female,Kurti,Clothing,1039,Perambur,S,Teal,Spring,3.1,Yes,Standard,No,30,Cash,Weekly,Middle-Aged,7
14,33,Other,Dress,Clothing,4594,Thiruvanmiyur,XXL,Pink,Festive,1.1,No,Express,No,1,Credit Card,Monthly,Adult,30
15,32,Other,Pajamas,Clothing,815,Egmore,S,Beige,Monsoon,2.4,Yes,Standard,No,25,Credit Card,Weekly,Adult,7
